pincode,total_updates,share_pct
413304,14591,0.7575297397007158
431712,12316,0.6394171937601272
421302,10590,0.5498074116531135
431512,10448,0.5424351120823164
431509,10435,0.5417601832483702
431513,10287,0.5340763780619054
444303,10128,0.5258214792467172
431715,10080,0.5233294343213772
431001,10045,0.5215123182299836
401603,9690,0.5030815693029906
445204,8516,0.4421303038373858
431709,8205,0.4259839294252877
431122,8136,0.42240161484511163
431721,7759,0.4028286786606712
445302,7412,0.38481327055456827
