pincode,total_updates,share_pct
202001,15971,0.8639001595167222
250002,12367,0.6689533074161482
221001,12255,0.6628950256638552
244001,11859,0.6414746723253902
283203,11558,0.6251930401161027
226003,11307,0.6116159979748029
247001,11069,0.5987421492511802
242001,9116,0.4931008611955694
201102,8724,0.47189687506254363
244901,8457,0.4574543640994878
209801,7418,0.4012529824866975
243601,7110,0.3845927076678915
282001,6966,0.3768034882720861
208001,6881,0.3722056851565065
262001,6819,0.36885199347220143
