pincode,total_updates,share_pct
855101,19271,1.5820592137237128
855107,13569,1.113951609725342
855116,10510,0.8628219779065033
855117,9641,0.7914811312080492
803110,9358,0.7682481512130407
803107,8415,0.6908322496749024
854317,7952,0.6528221092590403
845438,7745,0.6358283747750588
854318,7572,0.6216258817039051
854333,6838,0.5613679053210913
848117,6647,0.5456876962078522
854315,6088,0.49979640356753485
854311,5628,0.46203254915868697
824201,5374,0.44118033389814926
845455,5221,0.4286197475404237
